Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
272200800005C-1-0-1,Vaccine and Treatment Evaluation Units,374527,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800004C-1-0-2,Vaccine and Treatment Evaluation Units,2634897,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800004C-1-0-1,Vaccine and Treatment Evaluation Units,359304,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800003C-2-0-1,Vaccine and Treatment Evaluation Units,337232,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800002C-1-0-2,Vaccine and Treatment Evaluation Units,2758811,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800002C-1-0-1,Vaccine and Treatment Evaluation Unit,376202,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200700056C-0-0-1,Global HIV AIDS Vaccine Enterprise Secretariat,1735409,2007,2009,National Institute of Allergy and Infectious Diseases,United States
272200700056C-0-0-0,GLOBAL HIV VACCINE ENTERPRISE,1735409,2007,2009,National Institute of Allergy and Infectious Diseases,United States
7262-08,Translational Development of Novel Vaccine Therapies,6250000,2007,2012,Leukemia and Lymphoma Society,United States
09PH-008-961-2596,Rotavirus vaccine and prevention of hospitalization,20000,2010,2011,Gerber Foundation,United States
0319223B/3,Verbundprojekt: EUREKA-Projekt: Malaria-Impfstoff (EU 101) - Teilvorhaben: Gentechnologische Entwicklung einer Malaria-Vakzine - Phase 2,2247441,1988,1991,Federal Ministry of Education and Research,Germany
01KA1304,"'EDCTP-Malaria Impfstoff: Biometrie und Parasiten-Quantifizierung zur Entwicklung neuer malariaimpfstoffe, -medikamente und -miagnostika in Afrika.'",79683,2013,2014,Federal Ministry of Education and Research,Germany
01KA0802,"EDCTP-HIV-Vakzine I: Durchführung eine Phase IB HIV Impfstoffstudie (DNA / NYVAC) in Mbeya, Tansania.",211751,2008,2012,Federal Ministry of Education and Research,Germany
N/A,Investigation of Novel Vaccine Strategies for Influenza: Targeting Innate and Adaptive Immunity for Cross-protective Vaccines,1102716,2008,2011,Canadian Institutes of Health Research,Canada
2015R1C1A1A02037060,일반백신 또는 긴급백신제제의 뇌구조 및 기능에 대한 안전성 신속검정,0,2015,2016,National Research Foundation of Korea,South Korea
2013R1A1A2061340,비만 마우스에서의 호흡기 바이러스에 대한 백신의 효능 측정 및 비만 개선을 통한 백신 역량 강화 평가,0,2013,2014,National Research Foundation of Korea,South Korea
2010-00240,마우스 모델에서 모체의 결핵 감염이 신생아의 결핵 백신 효과에 미치는 영향 및 신규 결핵 백신 효능 검증,0,2010,2011,National Research Foundation of Korea,South Korea
194341,Development of vaccine strategies for measles and malaria using oral bacterial vectors and edible plant vaccines,46858,2002,2005,National Health and Medical Research Council,Australia
OPP51764,To test a new bacterial synthesis method to produce glycoconjugate vaccines to generate an improved vaccine against pneumococcal disease.,100000,2008,2009,Bill & Melinda Gates Foundation,United States
OPP1036030,To produce more poliovirus vaccine supply by silencing non-essential virus resistance genes to develop enhanced vaccine cell lines.,99632,2011,2012,Bill & Melinda Gates Foundation,United States
OPP41427,To support the AIDS Vaccine 2006 conference which will bring together scientists in the field of HIV vaccine research.,357500,2006,2007,Bill & Melinda Gates Foundation,United States
OPP1060868,To develop and field test a durable liner for vaccine carriers to protect vaccines from freezing.,98231,2012,2013,Bill & Melinda Gates Foundation,United States
OPP1033096,To develop an envelope vaccine antigen that allows immune recognition and is an effective vaccine antigen,896490,2011,2015,Bill & Melinda Gates Foundation,United States
272201600039C-0-0-1,DEVELOPMENT OF A NOVEL SALMONELLA PARATYPHI A VACCINE,449620,2016,2018,National Institute of Allergy and Infectious Diseases,United States
9671687,ヒト精子抗原を用いた経口ワクチン及び遺伝子ワクチンの開発に関する生殖免疫学的研究,4956,1997,1997,Japan Society for the Promotion of Science,Japan
hrc_04bb2ea4,RV3 Rotavirus Vaccine: A Phase II clinical trial for a human neonatal rotavirus vaccine for the global community,322481,2009,2011,Health Research Council of New Zealand,New Zealand
N01AI30023-14-0-1,Development of a Coronavirus Vaccine,1000,2003,2012,National Institute of Allergy and Infectious Diseases,United States
BW-08028,Insights into CD4+ T cell responses against cancer vaccines from analysis of responses to a conventional vaccine,0,2008,2014,Bloodwise,United Kingdom
09/16282-0,Adjuvant properties of cellular vaccines: combination of cellular pertussis vaccine and BCG with Streptococcus pneumoniae antigens,0,2010,2012,São Paulo Research Foundation,Brazil
00/PI.1/B045,Pathogen-derived immunomodulatory molecules: future immunotherapeutics and vaccines,9265633,2001,2006,Science Foundation Ireland,Ireland
06/RFP/GEN028,Can plant plastids produce a candidate flu vaccine,327096,2006,2009,Science Foundation Ireland,Ireland
62863,Information dissemination on the human papillomavirus vaccine,16141,2008,2009,Social Sciences and Humanities Research Council,Canada
N01AI30023-13-0-1,Development of a Coronavirus Vaccine,25831,2003,2012,National Institute of Allergy and Infectious Diseases,United States
272201200003I-1-27200008-1,Task X8: Efficacy Testing of Ebola Virus Vaccines,1644104,2013,2016,National Institute of Allergy and Infectious Diseases,United States
72624,USE OF THE VACCINE ADJUVANT FOR IMMUNOMODULATION OF THE INFECTION CAUSED BY TRYPANOSOMA BRUCEI: AN APPROACH TO VACCINE DESIGN,152343,2007,2010,Foundation for Science and Technology,Portugal
111077,Development of DNA-based vaccines for bovine viral diarrhoea virus. Développement des vaccins à base d'ADN le virus de diarrhée bovine.,170773,1996,1998,Natural Sciences and Engineering Research Council,Canada
N01AI052575,TESTING VACCINES IN CHILDREN,0,1985,1990,National Institute of Allergy and Infectious Diseases,United States
71998,Frameshifts as a Cancer Vaccine,1200000,2007,2010,W. M. Keck Foundation,United States
N01AI065314,SIMIAN VACCINE EVALUATION UNITS,2560239,1996,2001,National Institute of Allergy and Infectious Diseases,United States
30200246,HPV双启动子DNA疫苗和重组腺病毒疫苗的联合应用研究,23024,2003,2005,National Natural Science Foundation of China,China
5395449580,Vaccines against helminth infections (acronym PARAVAC),0,2011,2015,Belgian Federal Science Policy Office,Belgium
25830115,The mechanisms of macrophage dependent vaccine,39940,2013,2015,Japan Society for the Promotion of Science,Japan
Z01AI000416,Recombinant Vaccines for Prevention of AIDS and Other Diseases,3320228,1985,2008,National Institute of Allergy and Infectious Diseases,United States
50343004,SARS疫苗高分子载体的模拟研究,12078,2003,2004,National Natural Science Foundation of China,China
1031473,Characterisation of rotavirus vaccine escape - potential for significant impact on vaccination program,514201,2012,2014,National Health and Medical Research Council,Australia
185875,Conference: Genetic vaccines - benefits and challenges,33782,2007,2009,The Research Council of Norway,Norway
10-04-09827,Участие в GENE-BASED VACCINES - GBV2010 Conference,0,2010,2010,Russian Foundation for Basic Research,Russia
OPP1117200,To development of a new safer Oral Polio Vaccine against type 2 strain (nOPV2) with lower risk of circulating vaccine derived polio virus (cVDVP) or vaccine associated paralytic poliomyelitis (VAPP) than existing Sabin mOPV 2,3081165,2014,2018,Bill & Melinda Gates Foundation,United States
OPP1015149,"To test a new vaccine technology that modulates a host cytokine response to HIV vaccines. If successful, this technology may also enhance T-cell mediated immunity to other vaccine antigens, such as Tuberculosis.",100000,2010,2011,Bill & Melinda Gates Foundation,United States
OPP1068031,To produce new and more potent vaccines with increased stability by testing a vaccine platform based on protein crystals (MicroCubes) produced by insect viruses for developing a candidate vaccine against HIV.,428770,2013,2016,Bill & Melinda Gates Foundation,United States
OPP1045902,To develop better polio vaccines by researching whether adding immune pressure against proteins found in the attenuated strains of the oral polio vaccine leads to the emergence of recombinant circulating vaccine-derived polioviruses,100000,2011,2014,Bill & Melinda Gates Foundation,United States
OPP1025568,"To develop and test a vaccine combining a novel placental malaria vaccine candidate with the cervical cancer vaccine, with the potential of inducing a strong protective response against both diseases simultaneously",100000,2010,2012,Bill & Melinda Gates Foundation,United States
OPP1109210,"To bring together African researchers, vaccine implementers and public health academics to share information regarding rotavirus vaccines within Africa, and to exchange information and lessons regarding the impact of the vaccines",98212,2014,2014,Bill & Melinda Gates Foundation,United States
64571,"Sometimes it's take that hill, sometimes it's take that vaccine:  the Persian Gulf war and the anthrax vaccine controversy",16141,2008,2009,Social Sciences and Humanities Research Council,Canada
QLK4-CT-1999-50407,Training in vaccine research: vaccine against peptic ulcer,234957,2001,2005,European Commission,Belgium
N01AI50040-19-0-1,Tularemia Vaccine Development,336464,2005,2012,National Institute of Allergy and Infectious Diseases,United States
7190763100,Polymeric microparticulate vaccine formulations based on hydrogen bonding,0,2014,2017,Belgian Federal Science Policy Office,Belgium
26_4129,Production of a recombinant vaccine against human cytomegalovirus in plant cells,0,2014,2017,Belgian Federal Science Policy Office,Belgium
30_24854,GSK VACCINES - COURS INTRO MIN PME Convention -Course with Minor Entrepreneurschip,0,2015,2018,Belgian Federal Science Policy Office,Belgium
N/A,Vaccine Effectiveness: An integrated approach for monitoring influenza vaccine effectiveness to inform public health policy and influenza immunization program implementation,1790,2016,2017,Canadian Institutes of Health Research,Canada
N/A,Vaccine Effectiveness: An integrated approach for monitoring influenza vaccine effectiveness to inform public health policy and influenza immunization program implementation,1777,2016,2017,Canadian Institutes of Health Research,Canada
N/A,Vaccine Effectiveness: An integrated approach for monitoring influenza vaccine effectiveness to inform public health policy and influenza immunization program implementation,1159,2016,2017,Canadian Institutes of Health Research,Canada
N/A,Vaccine Effectiveness: An integrated approach for monitoring influenza vaccine effectiveness to inform public health policy and influenza immunization program implementation,2328,2016,2017,Canadian Institutes of Health Research,Canada
16IN0171,"Verbundprojekt: Integriertes, patientennahes Verfahren zur Herstellung einer therapeutischen zellulären Vakzine im geschlossenen System, Teilvorhaben: Genetisch modifizierte DC-Vakzine mit verbesserter Antigenpräsentation",142191,2003,2006,Federal Ministry for Economic Affairs and Energy,Germany
16IN0170,"Verbundprojekt: Integriertes, patientennahes Verfahren zur Herstellung einer therapeutischen zellulären Vakzine im geschlossenen System, Teilvorhaben: Geschlossenes, GMP-fähiges Verfahren für DC-Vakzine",654734,2003,2006,Federal Ministry for Economic Affairs and Energy,Germany
03 8689 /0,Verbundprojekt: Impfstoffentwicklung Gegen Herpesviren: Ein flexibles System zur gezielten Antigen-Variation bei Humanen Influenza-Viren für die Herstellung von Vakzinen,174044,1985,1988,Federal Ministry of Education and Research,Germany
0315281A,ERA Net EuroTransBio-2: Neue Technologie für erfolgreiche Impfstoffstrategien: Crossbeta Adjuvanz-Technologie am Beispiel von Protein-basierten Impfstoffen gegen Influenza H5N1 Viren,277036,2008,2010,Federal Ministry of Education and Research,Germany
01QE1522,"Verbundprojekt: Entwicklung eines low-cost intranasalen Vaccines mit universellem Schutz gegen Pneumococcus Infektionen, Teilprojekt: Sicherheits- und Wirksamkeitsuntersuchungen des Vaccines",69213,2015,2018,Federal Ministry of Education and Research,Germany
01KA0804,"EDCTP - Malariaimpfstoffe I: Förderung der immunologischen und der klinischen Forschungs-Kompetenz im Rahmen multizentrischer, internationaler klinischer Studien an Malariavakzinen der Phasen I bis IIb",1443557,2008,2013,Federal Ministry of Education and Research,Germany
01KA0801,EDCTP-HIV-Vakzine I: Bestimmung der zellulären Immunantwort nach Impfung mit einer DNA / MVA HIV Vakzine bei 70 Freiwilligen.,541177,2008,2012,Federal Ministry of Education and Research,Germany
01GU0709,Verbundprojekt: Innovative bakterielle Tumorimpfstoffe - Teilprojekt 2/3: Entwicklung eines oralen rekombinanten Salmonellenvakzins der zweiten Generation für die Tumortherapie,873846,2008,2011,Federal Ministry of Education and Research,Germany
N/A,"Best Brains Exchange: 'Achievement of Optimal Vaccine Coverage Rates in Canada: Identifying and Addressing the Problem of Vaccine Hesitancy', February 3, 2015, Ottawa.",932,2014,2015,Canadian Institutes of Health Research,Canada
